YEL034W	YOL069W
YFL034W	YPL110C
YOR375C	YNL244C
YFL037W	YDR523C
YGL173C	YMR093W
YMR284W	YDR190C
YJL069C	YGR090W
YDL188C	YMR214W
YPR178W	YHR165C
YPR178W	YDL208W
YJR082C	YDL154W
YFL045C	YLR343W
YGR282C	YDL200C
YFL039C	YOL133W
YNL189W	YLR345W
YBR017C	YGR005C
YDL126C	YHR188C
YGL172W	YPL125W
YJL183W	YJR075W
YDL181W	YLL021W
YJL153C	YDR267C
YBR127C	YDR076W
YMR308C	YDR388W
YGR041W	YDR119W
YDR363W-A	YPR108W
YAR003W	YLR015W
YJL200C	YOL133W
YLR355C	YOR174W
YDR172W	YOR297C
YLR277C	YDR301W
YNL333W	YMR095C
YPL111W	YBR011C
YPR181C	YPL204W
YNL138W	YOL087C
YPL204W	YKR028W
YLR268W	YLR078C
YMR276W	YDL190C
YJL092W	YFL039C
YLR340W	YDL130W
YNL071W	YLL050C
YCR030C	YMR132C
YHR165C	YML049C
YLR447C	YDL233W
YGL253W	YCR002C
YPL115C	YGR270W
YIL009W	YGR013W
YJR091C	YNL024C
YPL232W	YOR327C
YDR138W	YDL084W
YLR044C	YBR017C
YKL191W	YIL103W
YGL070C	YBR106W
YER161C	YHR183W
YDL212W	YLR018C
YIL160C	YGR239C
YDR263C	YOR214C
YBR106W	YIL120W
YKL145W	YHR200W
YLR399C	YOL012C
YMR092C	YPL263C
YGL212W	YPL246C
YDL065C	YOL147C
YLR027C	YLR314C
YOL108C	YMR317W
YBR290W	YML048W
YOR252W	YDL153C
YML092C	YOR157C
YER012W	YHR027C
YNL317W	YLR115W
YBR127C	YDL185W
YJL052W	YGR083C
YLR462W	YKR086W
YOR283W	YOR229W
YBR245C	YLR357W
YFR032C	YDL213C
YKL103C	YFL034W
YOR027W	YNL311C
YCL054W	YNL110C
YIL145C	YOR142W-A
YER026C	YCL025C
YPL132W	YDR178W
YMR153W	YLR295C
YJL186W	YDL138W
YLL021W	YER149C
YPR019W	YIL150C
YNL207W	YOR145C
YLR288C	YCR096C
YDR297W	YIL016W
YJR076C	YNL166C
YDL192W	YKL060C
YCR008W	YMR047C
YLR180W	YJL141C
YER136W	YPR180W
YPR173C	YOR275C
YDR074W	YER019C-A
YGR097W	YMR159C
YBR127C	YLR447C
YJR022W	YDR184C
YKL196C	YOR106W
YOR017W	YIR009W
YBR106W	YDR046C
YGL048C	YLR295C
YER081W	YOR222W
YLR339C	YFL044C
YJL008C	YDR386W
YJR037W	YLR295C
YER178W	YJR091C
YPL131W	YMR041C
YER120W	YGR086C
YFL024C	YDR359C
YML123C	YNL116W
YJL047C	YOL133W
YDR389W	YCR077C
YIL016W	YLR018C
YGL237C	YOL139C
YBR280C	YDR328C
YIL157C	YLR295C
YDR146C	YGR089W
YCL018W	YDR080W
YDL126C	YNL128W
YFL039C	YLR074C
YEL062W	YDR128W
YPL140C	YHR030C
YOR090C	YPR016C
YDL239C	YOR284W
YDR304C	YDL100C
YBR196C	YER095W
YNL277W	YPL169C
YBR274W	YFL039C
YBR196C	YBR088C
YML129C	YAR028W
YDR335W	YGL172W
YFL038C	YGR172C
YNL071W	YJL044C
YDL145C	YDL043C
YEL063C	YIL016W
YBR084W	YBL032W
YNL030W	YDR155C
YKL085W	YDR129C
YBR160W	YIL075C
YMR058W	YPL274W
YHR052W	YMR229C
YAL021C	YKR036C
YBR109C	YMR109W
YGR181W	YJR135W-A
YGR048W	YPL222W
YHL042W	YDR318W
YCL025C	YHL003C
YKL126W	YDL226C
YOR329C	YMR047C
YJR035W	YPL258C
YBL075C	YIL142W
YGL137W	YGL100W
YFL037W	YKR026C
YBL093C	YDR443C
YOL139C	YMR059W
YDR395W	YOL070C
YBR160W	YPL155C
YBR196C	YCR079W
YMR303C	YHR135C
YJR063W	YBR219C
YFR021W	YJR140C
YKL006C-A	YNL092W
YDR523C	YLL041C
YIL131C	YNL042W
YJL033W	YKR002W
