YJR045C	YGL137W
YBR196C	YCR088W
YDR298C	YFR028C
YNL290W	YJR068W
YER112W	YLR386W
YNL261W	YML065W
YPR178W	YDL098C
YML064C	YGL245W
YKR060W	YDR179C
YMR215W	YPR028W
YNL189W	YPL178W
YDR382W	YFL039C
YLL008W	YNL110C
YLR175W	YHR072W-A
YER148W	YGL112C
YDL208W	YOR308C
YLR291C	YGL245W
YHR102W	YOR353C
YIL009W	YOL130W
YAL032C	YDL209C
YFR031C	YIL144W
YPL204W	YNL207W
YMR260C	YGR156W
YJR076C	YDL225W
YFR002W	YJL039C
YBR143C	YLR371W
YFL017C	YNL189W
YFL038C	YPL246C
YFL034C-B	YOL036W
YBL050W	YDR160W
YFR050C	YER016W
YML032C	YDR097C
YMR309C	YDR429C
YNL244C	YGL048C
YDR297W	YPL264C
YGR155W	YGL081W
YJR045C	YER173W
YER022W	YDR532C
YJL063C	YHL024W
YER165W	YHR052W
YBR247C	YPL012W
YPR181C	YLR078C
YMR308C	YMR310C
YJL045W	YNR028W
YCR087W	YML064C
YER026C	YPL076W
YDR164C	YNR049C
YPL204W	YKL143W
YLR153C	YLR383W
YIL004C	YGL137W
YKR081C	YLR276C
YPL043W	YDR060W
YMR125W	YPL178W
YOR057W	YDL132W
YGR172C	YDL232W
YKL152C	YJL173C
YDR238C	YFR051C
YBL102W	YGR068C
YMR309C	YAL035W
YFL039C	YJL081C
YKL022C	YGL240W
YKL173W	YMR213W
YJL138C	YGR162W
YDR297W	YJL196C
YER122C	YDL145C
YOR361C	YLR370C
YMR308C	YNL189W
YBR196C	YNL182C
YPL076W	YNL101W
YLR259C	YJR017C
YER147C	YDR180W
YGL061C	YGL036W
YPL211W	YDR060W
YBR109C	YLL050C
YOR117W	YJL008C
YPR161C	YLR226W
YER025W	YLR291C
YBR196C	YLR222C
YHR133C	YHR140W
YDL014W	YPR016C
YOR116C	YKL213C
YGL137W	YFL039C
YCR088W	YOR367W
YLL011W	YJL111W
YDL188C	YGR253C
YLR259C	YER012W
YPL190C	YJL050W
YKR086W	YPL242C
YJL143W	YJL064W
YAL043C	YOR179C
YBR253W	YOR174W
YHR115C	YOR215C
YHR140W	YOL003C
YJR064W	YNR016C
YHL027W	YIL131C
YPL262W	YLR259C
YKR036C	YJL014W
YCR088W	YPL204W
YML046W	YHR086W
YEL026W	YDR060W
YPR120C	YER032W
YGL049C	YNL118C
YML012W	YLR208W
YKL013C	YLR370C
YER006W	YNL061W
YER067W	YPL180W
YMR297W	YLR378C
YOR260W	YER025W
YPL076W	YJL091C
YDR113C	YGR060W
YCR057C	YJL069C
YFL039C	YOR272W
YLR079W	YDR328C
YFL037W	YIL046W
YER165W	YLR335W
YJR045C	YML058W
YLR071C	YGL011C
YHR016C	YLR243W
YPL043W	YNL175C
YMR146C	YGL137W
YBR196C	YIL046W
YOL051W	YBR253W
YLR259C	YPR015C
YHR089C	YMR047C
YLR175W	YNL189W
YIL066C	YDL055C
YNL044W	YLR265C
YLR176C	YOR304W
YBR274W	YJL124C
YNL250W	YDR369C
YLR044C	YML064C
YKL133C	YNL118C
YHR023W	YGR274C
YDR300C	YNL265C
YBR198C	YJL014W
YMR302C	YFR024C-A
YEL037C	YDL007W
YJL117W	YDR331W
YGL137W	YJL008C
YBR011C	YDL203C
YDR224C	YDL060W
YER012W	YMR314W
YBR192W	YER078C
YBR183W	YDR276C
YKL088W	YOR039W
YML046W	YGR074W
YNL061W	YMR049C
YEL054C	YLR347C
YER172C	YDR088C
YML065W	YPR162C
YPR111W	YIL106W
YER114C	YHL007C
YBR245C	YOR304W
YER146W	YJR022W
YDL055C	YNL161W
YLR259C	YDR394W
YDR243C	YPL235W
YJL020C	YMR032W
YHR186C	YNL006W
YIL004C	YLR026C
YHR140W	YNL048W
YFR034C	YDR335W
YDR432W	YKL139W
YIL129C	YDR167W
YER172C	YJR022W
YHR099W	YNL189W
YKR081C	YMR049C
YBR200W	YBL085W
YGR103W	YMR229C
YPR178W	YOR159C
YOR185C	YLR347C
YBR154C	YNR003C
YOR361C	YNL244C
YCL059C	YBL004W
YKL104C	YDL029W
YLR153C	YIL061C
YKL129C	YLR337C
YML092C	YOR020C
YDL108W	YDR460W
YLR259C	YHR014W
YPR099C	YML104C
YAL027W	YDR381W
YBL004W	YGR090W
YFR051C	YPL010W
YCR093W	YMR005W
YER171W	YMR201C
YNL110C	YPL012W
YCL059C	YLR409C
YNL189W	YLR347C
YBR200W	YGR134W
YDR311W	YPL170W
YDL165W	YDR443C
YNL093W	YNL263C
YKR081C	YER139C
YPR086W	YOR271C
YFL037W	YML112W
YPR103W	YNL244C
YPR165W	YDL135C
YGL238W	YNL189W
YBR248C	YOL102C
YDR382W	YDL195W
YLR259C	YDL145C
YFL017W-A	YDR473C
YCR035C	YGR195W
YER112W	YDR378C
YBL026W	YLR126C
YML092C	YPR103W
YIL046W	YNL182C
YIR006C	YER133W
YCR057C	YPR137W
YER043C	YNL189W
YMR108W	YOR174W
YDL230W	YKL035W
YLL024C	YNL007C
YML085C	YDL029W
YIL142W	YOR230W
YFR031C	YJL074C
YBR160W	YLR430W
YFL009W	YOR057W
YDR334W	YLR385C
YKR001C	YDL002C
YOR361C	YOR039W
YLR147C	YJR022W
YGL014W	YNL118C
YHR166C	YBR270C
YKL143W	YNL207W
YNR053C	YDL043C
YDR074W	YAR066W
YKL095W	YDL209C
YMR100W	YMR049C
YJR076C	YDL055C
YPR132W	YBL026W
YPR088C	YPL210C
YJL203W	YFL017W-A
YCR035C	YOL021C
YMR125W	YGL049C
YPR188C	YOR319W
YER029C	YGR091W
YEL037C	YDL190C
YGR091W	YDR473C
YOR098C	YMR308C
YPR086W	YGR232W
YIR006C	YNL084C
YEL009C	YDR308C
YFL008W	YNL084C
YER006W	YGR103W
YDL014W	YKL078W
YKL214C	YPL169C
YOL069W	YJL074C
YBL050W	YOL036W
YDR301W	YOR250C
YKL013C	YIL062C
YBR160W	YLL003W
YFL033C	YDR167W
YHR165C	YOR308C
YKL152C	YDR267C
YGL116W	YPL235W
YBR260C	YMR032W
YEL002C	YJL002C
YBR253W	YGL112C
YML064C	YLR192C
YGR004W	YPR028W
YHR165C	YIL061C
YIR008C	YNL262W
YFL037W	YGL213C
YLR175W	YPL012W
YDL155W	YGL003C
YDR139C	YDL132W
YDR085C	YMR059W
YGL116W	YJL014W
YGR172C	YDR515W
YCL031C	YGR090W
YEL071W	YLR383W
YJR093C	YAL043C
YKL014C	YBR142W
YDR395W	YPR015C
YIL142W	YGL137W
YHR122W	YHR164C
YPL248C	YBR253W
YJL002C	YGL100W
YMR264W	YJR010C-A
YPR180W	YDR510W
YDR293C	YNL161W
YEL015W	YOL149W
YBR142W	YNL061W
YNR017W	YHR005C-A
YBL007C	YNL152W
YJR066W	YHR186C
YJL138C	YOL135C
YDL126C	YML068W
YBR234C	YNR035C
YBL007C	YPL246C
YGR195W	YOR076C
YCR057C	YOL038W
YBR283C	YPL076W
YHR086W	YDL087C
YPL264C	YDL015C
YJL141C	YLL001W
YAL047C	YNL126W
YDL188C	YML126C
YJL005W	YMR059W
YGR240C	YDL029W
YGR240C	YHR169W
YGL137W	YGL048C
YOR116C	YKL060C
YBR011C	YLR371W
YER082C	YMR093W
YOR151C	YJR076C
YCL026C-A	YLR177W
YDL017W	YGR099W
YBL026W	YMR237W
YML061C	YMR063W
YPR041W	YGR162W
YKL172W	YHR052W
YOR098C	YKR064W
YMR303C	YKL108W
YMR047C	YPL083C
YIL144W	YMR117C
YAL032C	YKL173W
YFL037W	YNL113W
YEL002C	YJR117W
YEL002C	YGL226C-A
YER171W	YPR025C
YKL060C	YLR314C
YER165W	YNL088W
YIL129C	YNL161W
YCR077C	YNL118C
YBR196C	YOL100W
YOL094C	YOR144C
YPR110C	YBR049C
YBL076C	YNL244C
YOR350C	YMR271C
YBR160W	YFL037W
YGL022W	YJL002C
YGR240C	YOL133W
YFL037W	YBR198C
YCR057C	YGR145W
YGL233W	YLR166C
YBR160W	YER032W
YPL228W	YGL130W
YER009W	YLR347C
YLR259C	YHR186C
YKL008C	YML064C
YOR117W	YGL004C
YJL138C	YKL060C
YJR159W	YNL189W
YKL059C	YPR107C
YJR112W	YGL075C
YMR309C	YBR234C
YBR278W	YMR290C
YKL193C	YDR190C
YNL102W	YJR043C
YNL110C	YPR016C
YDL140C	YDL108W
YGL075C	YPL255W
YER127W	YJL069C
YNL287W	YER122C
YFR031C	YMR065W
YFL039C	YHR179W
YHR170W	YLR074C
YPR137W	YOR310C
YOR117W	YMR276W
YDR201W	YDR507C
YAL032C	YGL128C
YGL166W	YJL154C
YCR093W	YPR072W
YCR088W	YIR003W
YGR254W	YNL244C
YOR326W	YNL304W
YDR138W	YNL189W
YFR036W	YOR249C
YDR301W	YLR115W
YNL098C	YBR140C
YBR247C	YDL060W
YER148W	YOL148C
YMR240C	YPL213W
YDL126C	YLR097C
YBR160W	YMR129W
YML112W	YDR190C
YGR135W	YML092C
YBR290W	YMR215W
YLL024C	YMR047C
YFL008W	YGR130C
YGL104C	YPR028W
YJL140W	YDR404C
YDR311W	YLR005W
YGL070C	YBR176W
YBL004W	YBR247C
YLL024C	YGL172W
YMR168C	YPL018W
YOR157C	YEL037C
YKL173W	YFL017W-A
YHR204W	YLR321C
YLR337C	YIL130W
YBR041W	YDL153C
YBR119W	YHR086W
YAL041W	YLR206W
YBR152W	YOR308C
YDR073W	YNL189W
YNL118C	YLL001W
YJR022W	YOR076C
YML092C	YGL172W
YLR355C	YER133W
YFL037W	YER173W
YER165W	YIR001C
YFR050C	YNL253W
YBR196C	YLR314C
YLR147C	YDL087C
YLR078C	YGL137W
YPL076W	YDR331W
YGL004C	YOR259C
YDR189W	YLR268W
YER165W	YGL044C
YGL099W	YGR245C
YKL059C	YDR228C
YLR102C	YDL008W
YLR358C	YMR228W
YGL128C	YGL120C
YBR234C	YLR370C
YCR081W	YDL005C
YBR113W	YDL043C
YFL009W	YJL194W
YDL192W	YAL026C
YCR057C	YGL171W
YOR116C	YBR154C
YER131W	YLL027W
YKR001C	YGR274C
YCL011C	YNL189W
YMR304W	YDR111C
YJL020C	YOL133W
YGR152C	YBR200W
YIL021W	YOL005C
YLR310C	YBR130C
YHR016C	YOR181W
YGR049W	YGR278W
YJL117W	YDL015C
YBR087W	YMR078C
YOR257W	YHR102W
YDR432W	YPL178W
YGL027C	YIL022W
YBL050W	YLL009C
YDR150W	YDR295C
YPR110C	YKL035W
YLR078C	YIL109C
YOR224C	YNR003C
YGL171W	YGR090W
YGR013W	YLR275W
YNL138W	YLR222C
YDR212W	YLR196W
YGL195W	YBR142W
YPR103W	YDL147W
YKL104C	YGL137W
YKR037C	YGR113W
YDR216W	YOL133W
YOL021C	YOL142W
YPR110C	YDL192W
YBR198C	YGL048C
YBR130C	YGL106W
YBR136W	YDR499W
YML098W	YGR274C
YFL045C	YML064C
YCR097W	YCR096C
YJL033W	YLR197W
YDR216W	YER148W
YBL007C	YFR024C-A
YBR110W	YMR215W
YER125W	YGR068C
YDR127W	YGL048C
YOR336W	YER022W
YOR098C	YJR132W
YCR057C	YHR148W
YLR259C	YFR028C
YBR160W	YDR097C
YML085C	YOR319W
YGL207W	YGL130W
YDR398W	YLR336C
YPL204W	YLL001W
YPL016W	YFL049W
YJR015W	YDR179C
YER171W	YJL008C
YDR054C	YIL148W
YCL011C	YML062C
YHR191C	YOL094C
YHR023W	YIL061C
